,src,rel,tgt,time,text
64,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-27,"NEW DELHI, 27 december 2015 (and) - Indian police announced Saturday that it arrested three people in the city of Hyderabad, southern India on charges of planning to join the organization of داعش. said the official anti-terrorism task force of the Government of the state of Maharashtra, the task force arrested during a joint operation with Telangana state police in south India three young men in the city of Nagpur International Airport, while in the way to join the Organization."
65,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-27,Altaf was arrested from Bhatkal village near Karwar in Karnataka and Rs 33 lakh cash has been recovered from him.
66,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-27,"Police confirmed that Abdullah Basith, Umar Hassan Farooqui, and Zamir Farooqui were detained at the airport and will be handed over to Hyderabad Police."
67,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-27,"Ranchi, Dec 27 (IANS) Police here in the Jharkhand capital on Sunday arrested four people for gang-raping two girls."
68,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-27,Police arrested seven PAAS supporters for trying to forcibly close shops in a local market in Visnagar.
69,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-27,"In Visnagar, seven people were detained from station road area for trying to forcefully closing shops."
70,Medical Personnel (India),Make statement,India,2015-12-27,Doctors said that the new facility would help save more patients.
71,Narendra Modi,Make statement,India,2015-12-27,"While reiterating the stand of the Congress that the country should have good neighbourly relations with all countries, including Pakistan, he said that the way Mr. Modi handled the issue would not add respect to the country."
72,Afghanistan,Make statement,India,2015-12-27,"Modi emphasized that Afghanistan-India relations are of important strategic significance, saying that Indian involvement in the country not aimed to compete but to contribute."
73,India,Make statement,Bhupinder Singh Hooda,2015-12-27,"Rohtak, Dec. 27 -- Former Haryana chief minister Bhupinder Singh Hooda on Sunday said he will hold a demonstration outside Jharli power plant on January 5 and accused the state government of failure to provide electricity to people."
74,Cabinet / Council of Ministers / Advisors (India),Make statement,India,2015-12-27,"Rejecting radical leaders and their separatist ideas as 'irresponsible', the chief minister said that Punjab was in not in a position to bear turmoil anymore."
75,Government (India),Make statement,India,2015-12-27,Premanagar area has been recently declared drought-hit by state government and is one among several tehsils in state with deficient rainfall in the Kharif season this year.
76,Rajnath Singh,Make statement,India,2015-12-27,"Lucknow, Dec. 28 -- Union home minister Rajnath Singh played down the ISIS threat, saying that while other countries were worried, 'India doesn't feel threatened as Indian Muslims, guided by Indian values have largely rejected the terrorist organisation.'"
77,Bharatiya Janata,Make statement,India,2015-12-27,"THIRUVANANTHAPURAM,NATIONAL CPI(M) leader D. Raja has said BJP general secretary Ram Madhav’s statement that India, Pakistan and Bangladesh would get reunited one day to form ‘Akhand Bharat’ would derail peace efforts in the sub-continent."
78,Pranab Mukherjee,Make statement,India,2015-12-27,"Stating that India had been the world leader in education in the ancient past, between the 6{+t}{+h}Century BC and 12{+t}{+h}Century AD, with universities such as Takshila and Nalanda, President Mukherjee said it was part of only the yore now, unfortunately."
79,Narendra Modi,Make statement,India,2015-12-27,"After inaugurating the new building of Afghanistan's parliament, Indian Prime Minister Modi officially handed over three attack helicopters to Afghanistan, with the fourth still to be delivered - reaffirming New Delhi's military cooperation to Afghanistan in the future as well."
80,Ministry (India),Make statement,India,2015-12-27,Saran MP and Union minister for skill development Rajiv Pratap Rudy said the factory would be developed on the pattern of Chittaranjan and Varanasi locomotive units.
81,Narendra Modi,Make statement,India,2015-12-27,"Addressing the public in his last monthly radio address 'Mann Ki Baat' for 2015, Modi said: 'Start-up India, Stand-up India has brought new opportunity for the youth of our country."
82,Bharatiya Janata,Make statement,Pakistan,2015-12-27,"THIRUVANANTHAPURAM,NATIONAL CPI(M) leader D. Raja has said BJP general secretary Ram Madhav’s statement that India, Pakistan and Bangladesh would get reunited one day to form ‘Akhand Bharat’ would derail peace efforts in the sub-continent."
83,Manohar Parrikar,Make optimistic comment,India,2015-12-27,"MOSCOW (Sputnik) — According to the India Today newspaper, Indian Defense Minister Manohar Parrikar hopes that India will negotiate up to 25 percent discount for the jets, which would be 75 million euro ($82 million) instead of 105 million euro for each aircraft."
84,Manohar Parrikar,Make optimistic comment,India,2015-12-27,"According to the India Today newspaper, Indian Defense Minister Manohar Parrikar hopes that India will negotiate up to 25 percent discount for the jets, which would be 75 million euro ($82 million) instead of 105 million euro for each aircraft."
85,Student (India),"Obstruct passage, block",India,2015-12-27,"Gorakhpur, Dec. 27 -- Police used mild force to disperse a group of 200 Saraswati Vidya Mandir class 12 students who blocked a road in Deoria, demanding action against a school teacher who they accused of harassing and driving a fellow student to alleged suicide on Wednesday."
86,Police (India),Accede to demands for change in policy,India,2015-12-27,Mumbai/Hyderabad: The Telangana police are not likely to initiate any criminal action against the three Hyderabad youths held in Nagpur on Saturday or change its policy of counselling the ‘radicalised youth.’
87,Iran,Express intent to engage in diplomatic cooperation (such as policy support),India,2015-12-27,"New Delhi, Dec 27, IRNA – Postal, spatial and telecommunications cooperation between Iran and India will improve following signing a memorandum of understanding by the two countries, said a member of an Iranian delegation to India."
88,India,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2015-12-27,"New Delhi, Dec 27, IRNA – Postal, spatial and telecommunications cooperation between Iran and India will improve following signing a memorandum of understanding by the two countries, said a member of an Iranian delegation to India."
89,India,Engage in negotiation,Pakistan,2015-12-27,"Sindhi newspapers also prominently reported that Pakistan and India decided to start foreign secretaries talks in January 2016 , Indian Prime Minister Narendra Modi visited Pakistan for few hours and held meeting with Pakistani Prime Minister Nawaz Sharif, congratulated PM Sharif on his birthday, both leaders announced to continue peace process and take it further; Asif Ali Zardari on his message on 8th death anniversary of [former Prime Minister] Benazir Bhutto said that federal government attacked Sindh in the garb of law and order situation, he said his party would not allow trampling of constitution; the Sindh government announced to send murder case of Khalid Mehmud Soomro, general secretary of the Jamiat Ulema-e-Islam-Fazlur Rahman group (JUI-F) Sindh chapter, to military court after the JUI-F held massive protest-demonstrations and sit-ins in Larkana and Sukkur; the 8th death anniversary of Benazir Bhutto would be observed on 27 December, PPP workers started coming to Garhi Khuda Bakhsh; Sindh Information Adviser Moula Bakhsh Chandio said that his party was not in favor of the Rangers' withdrawal from Sindh, he said the Sindh government had reservations over federal government's attitude toward Sindh; meeting of the PPP central executive committee called at Nau Dero House on 27 December; a security checkpoint was attacked by terrorists in Kurram Agency, two terrorists were killed in retaliation by the security forces; Sindh Chief Minister [Syed Qaim Ali Shah] said that terrorists wanted to snatch education from their future generations, suggested people to sell their arms and purchase books; PM Sharif is scheduled to visit Sindh on 28 December, reservations of the Sindh government would be allayed; as many as six terrorists of banned groups were arrested in Shikarpur, over 100 kg of explosives were also seized."
90,India,Engage in negotiation,Afghanistan,2015-12-27,"During the tour, the Indian leader held talks with Afghan officials on enhancing bilateral ties between the two allied nations and regional issues."
91,Afghanistan,Engage in negotiation,India,2015-12-27,"During the tour, the Indian leader held talks with Afghan officials on enhancing bilateral ties between the two allied nations and regional issues."
92,Ministry (India),Express intent to meet or negotiate,India,2015-12-27,She will also visit the Nashing HS and Govt HS School in the town.
93,India,Express intent to meet or negotiate,Citizen (India),2015-12-27,"The meeting on the Broad-based Investment and Trade Agreement will be held on January 17-18 New Delhi: Months after it called off talks between chief negotiators of the two sides on free trade agreement (FTA) to protest against the ban on sale of around 700 pharma products of a domestic company, India will meet officials from the European Union (EU) later next month to “take stock of the negotiations” on the long-pending FTA."
94,Narendra Modi,Criticize or denounce,Pakistan,2015-12-27,Narendra Modi is an Indian leader who has spent his entire life in opposing Pakistan and creating an atmosphere of hatred against Muslims.
95,Government (India),Threaten with military force,India,2015-12-27,"Meerut: With the city residents gearing up for their annual New Year’s Eve parties, the Meerut drug administration (a wing of the Food Safety and Drug Administration) has planned a series of raids across the city to unearth illegal medicine manufacturing units."
96,Police (India),Increase police alert status,India,2015-12-27,The police had to increase its vigil fearing the clashes of existing political parties in the city after the Hyderabad-based party All India Majlis-E-Ittehadul Muslimeen won the legislative assembly seat from Aurangabad central which has predominantly been a Shiv Sena stronghold.
97,Police (India),Seize or damage property,India,2015-12-27,Residents said that a police team led by Thrikkakara SI Bibin Das broke into their house around 1.30pm on Friday.
98,Rajnath Singh,Investigate,India,2015-12-27,"Earlier, the home minister also inspected the kitchen and even served food to students."
99,India,Impose restrictions on political freedoms,Citizen (India),2015-12-27,"MUMBAI: Notwithstanding the Congress and the NCP's demand, no proposal has been sent to the Centre to ban Sanatan Sanstha that is under the scanner for its alleged role in the murder of leading social workers Narendra Dabholkar, Govind Pansare and Karnataka litterateur M M Kalburgi."
100,Left Party (India),Conduct strike or boycott,India,2015-12-27,"HYDERABAD,ANDHRA PRADESH Election held at Ranga Reddy, Mahabubnagar, Nalgonda and Khammam with a few Left parties boycotting it Polling for filling six Telangana Legislative Council seats in the Local Authorities’ category was peaceful in Ranga Reddy, Mahabubnagar, Nalgonda and Khammam district on Sunday with a few Left parties boycotting it."
101,Left Party (India),"Impose embargo, boycott, or sanctions",India,2015-12-27,"HYDERABAD,ANDHRA PRADESH Election held at Ranga Reddy, Mahabubnagar, Nalgonda and Khammam with a few Left parties boycotting it Polling for filling six Telangana Legislative Council seats in the Local Authorities’ category was peaceful in Ranga Reddy, Mahabubnagar, Nalgonda and Khammam district on Sunday with a few Left parties boycotting it."
102,Police (India),Confiscate property,India,2015-12-27,"New Delhi, Dec. 28 -- Two days after Hindustan Times reported how a cottage industry of fake number plates had sprung to help people bypass the odd-even rule, Delhi Police on Sunday raided two shops in the motor market of Karol Bagh."
103,India,Engage in diplomatic cooperation,United States,2015-12-28,"New Delhi: In another sign of increasing military cooperation between India and the US, the Special Forces of the two countries are resuming their joint training exercise, Vajra Prahar, after a gap of four years."
104,United States,Engage in diplomatic cooperation,India,2015-12-28,"New Delhi: In another sign of increasing military cooperation between India and the US, the Special Forces of the two countries are resuming their joint training exercise, Vajra Prahar, after a gap of four years."
105,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-28,"Abdul Basith, Syed Omar and Maaz Hussain who were arrested last week in Nagpur for allegedly trying to join a terrorist outfit had even stolen money in a bid to reach their destination."
106,India,"Arrest, detain, or charge with legal action",Men (India),2015-12-28,"On Friday, three young men from Hyderabad, who were on their way to join the outfit, were detained in Nagpur."
107,India,"Arrest, detain, or charge with legal action",Children (India),2015-12-28,"Hyderabad, Dec 28 (IANS) Three youth from Hyderabad arrested at Nagpur airport two days ago while allegedly planning to go and join the IS were Monday sent to judicial custody for 14 days."
108,India,"Arrest, detain, or charge with legal action",Citizen (India),2015-12-28,"On December 11, an official of the state-run Indian Oil Corporation named Mohammed Sirajuddin was arrested in Jaipur for allegedly using social network platforms to recruit youngsters for the Islamic State."
109,India,"Arrest, detain, or charge with legal action",Cabinet / Council of Ministers / Advisors (India),2015-12-28,Anant was arrested in a case of kidnapping and extortion at Bihta in rural Patna.
110,India,"Arrest, detain, or charge with legal action",Preacher (India),2015-12-28,"Barwani, Dec. 28 -- Three Christian preachers have been arrested in Madhya Pradesh for allegedly forcing some villagers to adopt Christianity by promising them money and issuing life threats if they resisted, the police said on Monday."
111,India,"Arrest, detain, or charge with legal action",Terrorist (India),2015-12-28,Rahman was arrested on December 16 for allegedly making recruitments for the al Qaida in the Indian Subcontinent.
112,India,"Arrest, detain, or charge with legal action",Children (India),2015-12-28,"NEW DELHI,NEW DELHI Three youth have been arrested for allegedly abducting their snooker buddy over a monetary dispute in north west Delhi, police said on Monday."
113,Iran,Consult,India,2015-12-28,"During the weekend talks of the Iran-India economic commission in New Delhi , Iran and India discussed cooperation in energy, urban development, information exchange and infrastructure modernization."
114,India,Consult,Iran,2015-12-28,"During the weekend talks of the Iran-India economic commission in New Delhi , Iran and India discussed cooperation in energy, urban development, information exchange and infrastructure modernization."
115,Narendra Modi,Make statement,India,2015-12-28,"Text of report by Indian news agency PTI New Delhi, 28 Dec: Indian Prime Minister Narendra Modi on Monday [28 December] said India attaches high importance to its relations with Iran and expressed keenness to further strengthen ties with it, including in the areas of trade, investment, oil and gas, connectivity and port development."
116,World Bank,Make statement,India,2015-12-28,"Hyderabad: World Bank chief economist Kaushik Basu today said amidst sluggish global growth, the US and India are two engines of growth with India anticipated to be among the fastest growing major economies in the world."
117,Police (India),Make statement,India,2015-12-28,"A senior police official said, 'The base of the FIR is the first statement of the victim after the alleged incident at Hotel Bella Vista on December 24."
118,Foreign Affairs (India),Make statement,India,2015-12-28,"For his part, Indian ambassador was confident that create opportunities for cooperation of many and varied, confirming its intention to promote Indian companies to come to Syria and investment in oil and gas sector through opportunities available, including common in the interest of both sides."
119,Narendra Modi,Make statement,Pakistan,2015-12-28,New Delhi: Congress has taken exception to Prime Minister Narendra Modi saying Pakistan could be the bridge between India and Afghanistan.
120,Ali Tayyebnia,Make statement,India,2015-12-28,"Earlier in the day, the head of Iran's energy working group delegation to New Delhi said India is ready to restore its previous volumes of oil imports from Iran as soon as the economic sanctions are fully lifted from Tehran."
121,Islamic Republic News Agency,Make statement,India,2015-12-28,"New Delhi, Dec 28, IRNA – Indian Prime Minister Narendra Modi said on Monday that India is seriously determined to cooperate with Iran in various fields."
122,Bharatiya Janata,Make statement,India,2015-12-28,"Hyderabad: A day after three Hyderabadi youths were detained by the Maharashtra Anti-Terrorism Squad for allegedly trying to leave the country to join the terrorist outfit Islamic State (IS), the BJP has said that the city has been turning into a 'recruitment capital' for terror groups and asked the government to form a specialised force to deal with such elements."
123,Rajnath Singh,Make statement,India,2015-12-28,Lucknow: Union home minister Rajnath Singh on Sunday said the country has no threat from terrorist organisation Islamic State.
124,Rajnath Singh,Make statement,India,2015-12-28,"He said because of its value system, India is the only country where all sects of Muslims live peacefully."
125,Narendra Modi,Make statement,India,2015-12-28,"New Delhi, 28 Dec: Indian Prime Minister Narendra Modi on Monday [28 December] said India attaches high importance to its relations with Iran and expressed keenness to further strengthen ties with it, including in the areas of trade, investment, oil and gas, connectivity and port development."
126,Rajnath Singh,Make statement,India,2015-12-28,The home minister said India had a university much before the establishment of the Oxford University in UK and added that education is a must for the nation's progress.
127,Cabinet / Council of Ministers / Advisors (India),Make statement,India,2015-12-28,"At the inauguration, Fadnavis said the new premises will boost the efficiency of the police department."
128,Citizen (India),Use unconventional violence,India,2015-12-28,"An excise team of eight officials, led by sub-inspector Nidhi Sharma raided a residential area in Solanki Nagar and a Tata safari which was going to Malviya Nagar via Rasoma Chouraha."
129,Armed Opposition (India),Use unconventional violence,India,2015-12-28,Unidentified gunmen had attacked the nursing home and fired several rounds creating panic among locals and medical practitioners.
